DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 0, vf: -1}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 0, vf: -1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
labgob error: lower-case field prevLogIndex of AppendEntriesArgs in RPC or persist/snapshot will break your Raft
labgob error: lower-case field prevLogTerm of AppendEntriesArgs in RPC or persist/snapshot will break your Raft
labgob error: lower-case field entries of AppendEntriesArgs in RPC or persist/snapshot will break your Raft
labgob error: lower-case field term of Log in RPC or persist/snapshot will break your Raft
labgob error: lower-case field command of Log in RPC or persist/snapshot will break your Raft
labgob error: lower-case field leaderCommit of AppendEntriesArgs in RPC or persist/snapshot will break your Raft
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
  ... Passed --   3.0  3  228   27820    0
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
Test (2A): election after network failure ...
DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 0, vf: -1}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 0, vf: -1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
disconnecting 0
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 1, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 0, ct: 1, vf: 0}
DEBUG tick {me: 2, st: CANDIDATE, hb: 0, ct: 1, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
reconnecting 0
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
disabling quorium
disconnecting 2
disconnecting 0
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 2, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 2, vf: 2}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 2, vf: 0}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 2, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 4, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 4, vf: -1}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 4, vf: -1}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 4, vf: -1}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 4, vf: -1}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 4, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 6, vf: -1}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 6, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 0, ct: 6, vf: -1}
DEBUG tick {me: 1, st: CANDIDATE, hb: 0, ct: 6, vf: -1}
checked there is no leader
enabling quorium
reconnecting 0
checking there is one leader
DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 6, vf: -1}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 6, vf: -1}
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 8, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 8, vf: -1}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: FOLLOWER, hb: 0, ct: 8, vf: -1}
DEBUG tick {me: 0, st: CANDIDATE, hb: 0, ct: 8, vf: -1}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 2, st: LEADER, hb: 1, ct: 2, vf: 2}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
reconnecting 2, expecting no leader change
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
